price,milage,model,make,transmission,fuel,Num_Cyl,year,body_style
28460,35418,Tacoma,Toyota,Automatic,Gasoline,6,2016,Pickup
12083,40222,Rogue,Nissan,Automatic,Gasoline,4,2013,SUV
7499,116895,Avalon,Toyota,Automatic,Gasoline,6,2006,Sedan
23000,6040,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
14560,17040,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
5499,172527,CR-V,Honda,Automatic,Gasoline,4,2006,SUV
21504,45818,Sienna,Toyota,Automatic,Gasoline,6,2015,Minivan
14491,32949,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
16787,32991,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
20983,31137,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
24000,4561,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
21599,39812,Sienna,Toyota,Automatic,Gasoline,6,2016,Minivan
25450,20880,Pathfinder,Nissan,Automatic,Gasoline,6,2017,SUV
13500,45974,Rogue,Nissan,Automatic,Gasoline,4,2014,SUV
21988,51121,Highlander,Toyota,Automatic,Gasoline,6,2011,SUV
7942,119319,Corolla,Toyota,Automatic,Gasoline,4,2013,Sedan
4880,133730,Camry,Toyota,Automatic,Gasoline,4,2005,Sedan
21420,72235,Tacoma,Toyota,Automatic,Gasoline,6,2015,Pickup
11765,68062,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
20000,74282,Ridgeline,Honda,Automatic,Gasoline,6,2011,Pickup
3999,184890,Civic,Honda,Automatic,Gasoline,4,2006,Coupe
13295,30033,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
12799,43556,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
27198,35219,Tacoma,Toyota,Automatic,Gasoline,6,2015,Pickup
13694,67383,CR-V,Honda,Automatic,Gasoline,4,2010,SUV
13483,25158,Priusc,Toyota,Automatic,Hybrid,4,2014,Hatchback
12995,127897,Ridgeline,Honda,Automatic,Gasoline,6,2008,Pickup
17086,38440,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
22026,49554,Tacoma,Toyota,Automatic,Gasoline,6,2015,Pickup
22450,84473,4Runner,Toyota,Automatic,Gasoline,6,2012,SUV
17690,44815,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
5900,192433,Highlander,Toyota,Automatic,Gasoline,6,2005,SUV
10495,65710,Altima,Nissan,Automatic,Gasoline,4,2014,Sedan
31498,54232,Highlander,Toyota,Automatic,Gasoline,6,2016,SUV
19289,45858,Rogue,Nissan,Automatic,Gasoline,4,2015,SUV
15047,95970,Pilot,Honda,Automatic,Gasoline,6,2011,SUV
15491,71542,Venza,Toyota,Automatic,Gasoline,4,2015,Wagon
26590,26416,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
20362,32274,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
7995,130748,Civic,Honda,Automatic,Gasoline,4,2011,Sedan
14511,33911,Civic,Honda,Automatic,Gasoline,4,2015,Sedan
15997,25830,Camry,Toyota,Automatic,Gasoline,4,2014,Sedan
4500,176550,Murano,Nissan,Automatic,Gasoline,6,2005,SUV
17000,15426,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
29299,38324,Odyssey,Honda,Automatic,Gasoline,6,2016,Minivan
12391,61330,Camry,Toyota,Automatic,Gasoline,4,2012,Sedan
13213,42999,Corolla,Toyota,Manual,Gasoline,4,2016,Sedan
17500,44366,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
23500,8494,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
7729,115461,Tundra,Toyota,Automatic,Gasoline,8,2000,Pickup
7795,117139,Murano,Nissan,Automatic,Gasoline,6,2009,SUV
16589,31746,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
23000,6764,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
12278,67014,Altima,Nissan,Automatic,Gasoline,4,2014,Sedan
21000,34139,Frontier,Nissan,Automatic,Gasoline,6,2016,Pickup
16892,35042,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
9990,69288,Rogue,Nissan,Automatic,Gasoline,4,2009,SUV
23500,7485,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
9995,142548,Pilot,Honda,Automatic,Gasoline,6,2009,SUV
32800,46942,Armada,Nissan,Automatic,Gasoline,8,2015,SUV
4800,215000,4Runner,Toyota,Automatic,Gasoline,6,2004,SUV
21000,31059,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
13967,52812,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
11700,89029,Accord,Honda,Automatic,Gasoline,4,2012,Coupe
21399,16609,CR-V,Honda,Automatic,Gasoline,4,2016,SUV
20860,35944,Avalon,Toyota,Automatic,Gasoline,6,2015,Sedan
